source_id,title,description,breadcrumbs,price_raw,currency_raw,url,seller,availability,country,product_name,brand,reference,unit,price_amount,price_currency,price_symbol,price_text,information_text,description_text,features_text,specifications_text,benefits_text,details_text,other_sections,sections,txt_path,html_path,es_status
641,$ 12.800,,Ver detalles del producto > 15G,12.80,,,Desconocido,unknown,unknown,$ 12.800,Ver detalles del producto,,15G,12.80,,$,$12.80,,,,,,,,{},dataset/txt_limpios/641.txt,dataset/paginas_descargadas/641.html,EN
640,$ 8.500,,$ 8.000,8.50,,,Desconocido,unknown,unknown,$ 8.500,$ 8.000,,,8.50,,$,$8.50,,,,,,,,{},dataset/txt_limpios/640.txt,dataset/paginas_descargadas/640.html,EN
1368,(021) 729-7200,,Zona de Cobertura > 600GR,10.50,,,Desconocido,unknown,unknown,(021) 729-7200,Zona de Cobertura,,600GR,10.50,,.,.10.50,,,,,,,,{},dataset/txt_limpios/1368.txt,dataset/paginas_descargadas/1368.html,EN
626,(Gr a $ 10),,$ 8.650 > 0.2 g,10.00,,,Desconocido,unknown,unknown,(Gr a $ 10),$ 8.650,,0.2 g,10.00,,$,$10,,,,,,,,{},dataset/txt_limpios/626.txt,dataset/paginas_descargadas/626.html,EN
627,(Gr a $ 10),,20 > 480G,10.00,,,Desconocido,unknown,unknown,(Gr a $ 10),20,,480G,10.00,,$,$10,,,,,,,,{},dataset/txt_limpios/627.txt,dataset/paginas_descargadas/627.html,EN
630,(Gr a $ 10),,20,10.00,,,Desconocido,unknown,unknown,(Gr a $ 10),20,,,10.00,,$,$10,,,,,,,,{},dataset/txt_limpios/630.txt,dataset/paginas_descargadas/630.html,EN
766,(Gr a $ 11),,$ 6.700,11.00,,,Desconocido,unknown,unknown,(Gr a $ 11),$ 6.700,,,11.00,,$,$11,,,,,,,,{},dataset/txt_limpios/766.txt,dataset/paginas_descargadas/766.html,EN
767,(Gr a $ 12),,$ 7.150,12.00,,,Desconocido,unknown,unknown,(Gr a $ 12),$ 7.150,,,12.00,,$,$12,,,,,,,,{},dataset/txt_limpios/767.txt,dataset/paginas_descargadas/767.html,EN
778,(Gr a $ 19),,$ 39.000,19.00,,,Desconocido,unknown,unknown,(Gr a $ 19),$ 39.000,,,19.00,,$,$19,,,,,,,,{},dataset/txt_limpios/778.txt,dataset/paginas_descargadas/778.html,EN
637,(Gr a $ 2),,36,2.00,,,Desconocido,unknown,unknown,(Gr a $ 2),36,,,2.00,,$,$2,,,,,,,,{},dataset/txt_limpios/637.txt,dataset/paginas_descargadas/637.html,EN
773,(Gr a $ 2),,36,2.00,,,Desconocido,unknown,unknown,(Gr a $ 2),36,,,2.00,,$,$2,,,,,,,,{},dataset/txt_limpios/773.txt,dataset/paginas_descargadas/773.html,EN
628,(Gr a $ 21),,$ 10.550,21.00,,,Desconocido,unknown,unknown,(Gr a $ 21),$ 10.550,,,21.00,,$,$21,,,,,,,,{},dataset/txt_limpios/628.txt,dataset/paginas_descargadas/628.html,EN
765,(Gr a $ 21),,20,21.00,,,Desconocido,unknown,unknown,(Gr a $ 21),20,,,21.00,,$,$21,,,,,,,,{},dataset/txt_limpios/765.txt,dataset/paginas_descargadas/765.html,EN
763,(Gr a $ 23),,$ 11.600,23.00,,,Desconocido,unknown,unknown,(Gr a $ 23),$ 11.600,,,23.00,,$,$23,,,,,,,,{},dataset/txt_limpios/763.txt,dataset/paginas_descargadas/763.html,EN
629,(Gr a $ 29),,$ 13.450,29.00,,,Desconocido,unknown,unknown,(Gr a $ 29),$ 13.450,,,29.00,,$,$29,,,,,,,,{},dataset/txt_limpios/629.txt,dataset/paginas_descargadas/629.html,EN
654,(Gr a $ 3),,30,3.00,,,Desconocido,unknown,unknown,(Gr a $ 3),30,,,3.00,,$,$3,,,,,,,,{},dataset/txt_limpios/654.txt,dataset/paginas_descargadas/654.html,EN
657,(Gr a $ 3),,27,3.00,,,Desconocido,unknown,unknown,(Gr a $ 3),27,,,3.00,,$,$3,,,,,,,,{},dataset/txt_limpios/657.txt,dataset/paginas_descargadas/657.html,EN
759,(Gr a $ 3),,20,3.00,,,Desconocido,unknown,unknown,(Gr a $ 3),20,,,3.00,,$,$3,,,,,,,,{},dataset/txt_limpios/759.txt,dataset/paginas_descargadas/759.html,EN
